#Query	#lca rank	#lca taxon	#kingdom	#phylum	#class	#order	#family	#genus	#species	#method
ASV1933	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV194	genus	Microstomum	Eukaryota	Platyhelminthes	Rhabditophora	Macrostomida	Microstomidae	Microstomum	no identification	lca
ASV1940	species	Pollicipes polymerus	Eukaryota	Arthropoda	Hexanauplia	Pedunculata	Pollicipedidae	Pollicipes	Pollicipes polymerus	best hit
ASV1948	species	Calanus sp. NJGS-42	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus sp. NJGS-42	best hit
ASV195	species	Mytilus trossulus	Eukaryota	Mollusca	Bivalvia	Mytiloida	Mytilidae	Mytilus	Mytilus trossulus	best hit
ASV1956	species	Chthamalus dalli	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Chthamalidae	Chthamalus	Chthamalus dalli	best hit
ASV1957	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV1962	species	Acrochaetium densum	Eukaryota	Rhodophyta	Florideophyceae	Acrochaetiales	Acrochaetiaceae	Acrochaetium	Acrochaetium densum	best hit
ASV1965	species	Thysanoessa spinifera	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Thysanoessa	Thysanoessa spinifera	best hit
ASV1966	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV1982	species	Aurelia labiata	Eukaryota	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Aurelia	Aurelia labiata	best hit
ASV1992	species	Haminoea vesicula	Eukaryota	Mollusca	Gastropoda	Cephalaspidea	Haminoeidae	Haminoea	Haminoea vesicula	best hit
ASV1996	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV2001	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2003	species	Clytia gracilis	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Clytiidae	Clytia	Clytia gracilis	best hit
ASV2007	species	Balanus glandula	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus	Balanus glandula	best hit
ASV2008	species	Mytilus trossulus	Eukaryota	Mollusca	Bivalvia	Mytiloida	Mytilidae	Mytilus	Mytilus trossulus	best hit
ASV2018	species	Fabia subquadrata	Eukaryota	Arthropoda	Malacostraca	Decapoda	Pinnotheridae	Fabia	Fabia subquadrata	best hit
ASV2020	species	Panopea generosa	Eukaryota	Mollusca	Bivalvia	Myoida	Hiatellidae	Panopea	Panopea generosa	best hit
ASV2024	species	Chthamalus dalli	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Chthamalidae	Chthamalus	Chthamalus dalli	best hit
ASV2026	species	Balanus glandula	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus	Balanus glandula	best hit
ASV2031	species	Balanus crenatus	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus	Balanus crenatus	best hit
ASV2041	species	Fabia subquadrata	Eukaryota	Arthropoda	Malacostraca	Decapoda	Pinnotheridae	Fabia	Fabia subquadrata	best hit
ASV2048	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV206	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2062	species	Schistomeringos longicornis	Eukaryota	Annelida	Polychaeta	Eunicida	Dorvilleidae	Schistomeringos	Schistomeringos longicornis	best hit
ASV2066	species	Nereis vexillosa	Eukaryota	Annelida	Polychaeta	Phyllodocida	Nereididae	Nereis	Nereis vexillosa	best hit
ASV2072	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2073	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2074	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2083	species	Eupolymnia heterobranchia	Eukaryota	Annelida	Polychaeta	Terebellida	Terebellidae	Eupolymnia	Eupolymnia heterobranchia	best hit
ASV2089	species	Centropages abdominalis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Centropagidae	Centropages	Centropages abdominalis	best hit
ASV2100	species	Acrochaetium secundatum	Eukaryota	Rhodophyta	Florideophyceae	Acrochaetiales	Acrochaetiaceae	Acrochaetium	Acrochaetium secundatum	best hit
ASV2113	species	Mytilus trossulus	Eukaryota	Mollusca	Bivalvia	Mytiloida	Mytilidae	Mytilus	Mytilus trossulus	best hit
ASV2123	species	Ditrichocorycaeus anglicus	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Corycaeidae	Ditrichocorycaeus	Ditrichocorycaeus anglicus	best hit
ASV213	species	Clytia gracilis	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Clytiidae	Clytia	Clytia gracilis	best hit
ASV214	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2141	species	Polysiphonia sp. 1paniculata	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Polysiphonia	Polysiphonia sp. 1paniculata	best hit
ASV2143	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV216	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV2161	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2174	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV2179	genus	Melobesia	Eukaryota	Rhodophyta	Florideophyceae	Hapalidiales	Hapalidiaceae	Melobesia	no identification	lca
ASV218	species	Attheya longicornis	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Attheyaceae	Attheya	Attheya longicornis	best hit
ASV2186	species	Cyanea sp. USWADBB	Eukaryota	Cnidaria	Scyphozoa	Semaeostomeae	Cyaneidae	Cyanea	Cyanea sp. USWADBB	best hit
ASV2192	species	Pyropia perforata	Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	Pyropia	Pyropia perforata	best hit
ASV2207	species	Mytilus trossulus	Eukaryota	Mollusca	Bivalvia	Mytiloida	Mytilidae	Mytilus	Mytilus trossulus	best hit
ASV2209	species	Hermissenda crassicornis	Eukaryota	Mollusca	Gastropoda	Nudibranchia	Glaucidae	Hermissenda	Hermissenda crassicornis	best hit
ASV2222	species	Ditrichocorycaeus anglicus	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Corycaeidae	Ditrichocorycaeus	Ditrichocorycaeus anglicus	best hit
ASV2224	species	Sthenelais berkeleyi	Eukaryota	Annelida	Polychaeta	Phyllodocida	Sigalionidae	Sthenelais	Sthenelais berkeleyi	best hit
ASV2233	species	Polysiphonia hendryi	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Polysiphonia	Polysiphonia hendryi	best hit
ASV2238	species	Halichondria panicea	Eukaryota	Porifera	Demospongiae	Suberitida	Halichondriidae	Halichondria	Halichondria panicea	best hit
ASV2241	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2243	species	Tortanus discaudatus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Tortanidae	Tortanus	Tortanus discaudatus	best hit
ASV2245	species	Enteroctopus dofleini	Eukaryota	Mollusca	Cephalopoda	Octopoda	Octopodidae	Enteroctopus	Enteroctopus dofleini	best hit
ASV2246	species	Balanus nubilus	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus	Balanus nubilus	best hit
ASV2250	species	Peyssonnelia sp. 10BC	Eukaryota	Rhodophyta	Florideophyceae	Gigartinales	Peyssonneliaceae	Peyssonnelia	Peyssonnelia sp. 10BC	best hit
ASV2254	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2277	species	Angulus nuculoides	Eukaryota	Mollusca	Bivalvia	Veneroida	Tellinidae	Angulus	Angulus nuculoides	best hit
ASV2279	genus	Pseudocalanus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	no identification	lca
ASV2289	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2299	species	Asterionellopsis lenisilicea	Eukaryota	Bacillariophyta	Fragilariophyceae	Fragilariales	Fragilariaceae	Asterionellopsis	Asterionellopsis lenisilicea	best hit
ASV2306	species	Melibe leonina	Eukaryota	Mollusca	Gastropoda	Nudibranchia	Dendronotidae	Melibe	Melibe leonina	best hit
ASV2309	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2310	species	Diopatra ornata	Eukaryota	Annelida	Polychaeta	Eunicida	Onuphidae	Diopatra	Diopatra ornata	best hit
ASV2334	species	Evadne nordmanni	Eukaryota	Arthropoda	Branchiopoda	Diplostraca	Podonidae	Evadne	Evadne nordmanni	best hit
ASV2337	species	Syllis alternata CMC04	Eukaryota	Annelida	Polychaeta	Phyllodocida	Syllidae	Syllis	Syllis alternata CMC04	best hit
ASV2343	species	Balanus glandula	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus	Balanus glandula	best hit
ASV2346	genus	Melobesia	Eukaryota	Rhodophyta	Florideophyceae	Hapalidiales	Hapalidiaceae	Melobesia	no identification	lca
ASV2356	species	Panopea generosa	Eukaryota	Mollusca	Bivalvia	Myoida	Hiatellidae	Panopea	Panopea generosa	best hit
ASV2358	species	Cyanea sp. USWAQCN	Eukaryota	Cnidaria	Scyphozoa	Semaeostomeae	Cyaneidae	Cyanea	Cyanea sp. USWAQCN	best hit
ASV2360	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2365	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2381	species	Ditrichocorycaeus anglicus	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Corycaeidae	Ditrichocorycaeus	Ditrichocorycaeus anglicus	best hit
ASV2393	species	Chthamalus dalli	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Chthamalidae	Chthamalus	Chthamalus dalli	best hit
ASV2401	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2403	species	Cliona chilensis	Eukaryota	Porifera	Demospongiae	Clionaida	Clionaidae	Cliona	Cliona chilensis	best hit
ASV2404	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2406	species	Epilabidocera amphitrites	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Pontellidae	Epilabidocera	Epilabidocera amphitrites	best hit
ASV2408	species	Tortanus discaudatus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Tortanidae	Tortanus	Tortanus discaudatus	best hit
ASV2414	species	Phacellophora camtschatica	Eukaryota	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Phacellophora	Phacellophora camtschatica	best hit
ASV2436	species	Acrochaetium secundatum	Eukaryota	Rhodophyta	Florideophyceae	Acrochaetiales	Acrochaetiaceae	Acrochaetium	Acrochaetium secundatum	best hit
ASV2441	species	Chthamalus dalli	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Chthamalidae	Chthamalus	Chthamalus dalli	best hit
ASV245	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV2459	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV248	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV249	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2492	species	Balanus glandula	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus	Balanus glandula	best hit
ASV2505	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2520	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2526	species	Pseudocalanus sp. PsAkkeshi1	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus sp. PsAkkeshi1	best hit
ASV2532	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2550	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2556	species	Aglaophenia struthionides	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Aglaopheniidae	Aglaophenia	Aglaophenia struthionides	best hit
ASV256	species	Alitta sp. CMC01	Eukaryota	Annelida	Polychaeta	Phyllodocida	Nereididae	Alitta	Alitta sp. CMC01	best hit
ASV2575	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV2579	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2596	species	Apostichopus californicus	Eukaryota	Echinodermata	Holothuroidea	Aspidochirotida	Stichopodidae	Apostichopus	Apostichopus californicus	best hit
ASV260	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV2632	species	Acrochaetium moniliforme	Eukaryota	Rhodophyta	Florideophyceae	Acrochaetiales	Acrochaetiaceae	Acrochaetium	Acrochaetium moniliforme	best hit
ASV2642	species	Aurelia sp. USWAQCN	Eukaryota	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Aurelia	Aurelia sp. USWAQCN	best hit
ASV265	species	Evadne nordmanni	Eukaryota	Arthropoda	Branchiopoda	Diplostraca	Podonidae	Evadne	Evadne nordmanni	best hit
ASV2662	species	Hemigrapsus nudus	Eukaryota	Arthropoda	Malacostraca	Decapoda	Varunidae	Hemigrapsus	Hemigrapsus nudus	best hit
ASV2670	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2688	species	Maculaura alaskensis	Eukaryota	Nemertea	Pilidiophora	Heteronemertea	Lineidae	Maculaura	Maculaura alaskensis	best hit
ASV2703	species	Nemalion vermiculare	Eukaryota	Rhodophyta	Florideophyceae	Nemaliales	Liagoraceae	Nemalion	Nemalion vermiculare	best hit
ASV2705	species	Alia carinata	Eukaryota	Mollusca	Gastropoda	Neogastropoda	Columbellidae	Alia	Alia carinata	best hit
ASV2728	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2729	species	Acrochaetium densum	Eukaryota	Rhodophyta	Florideophyceae	Acrochaetiales	Acrochaetiaceae	Acrochaetium	Acrochaetium densum	best hit
ASV2738	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2744	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2754	species	Ditylum brightwellii	Eukaryota	Bacillariophyta	Mediophyceae	Lithodesmiales	Lithodesmiaceae	Ditylum	Ditylum brightwellii	best hit
ASV2763	species	Acrochaetium luxurians	Eukaryota	Rhodophyta	Florideophyceae	Acrochaetiales	Acrochaetiaceae	Acrochaetium	Acrochaetium luxurians	best hit
ASV2767	species	Mazzaella oregona	Eukaryota	Rhodophyta	Florideophyceae	Gigartinales	Gigartinaceae	Mazzaella	Mazzaella oregona	best hit
ASV2768	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2769	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2778	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2779	species	Myxicola sp. A_Harris	Eukaryota	Annelida	Polychaeta	Sabellida	Sabellidae	Myxicola	Myxicola sp. A_Harris	best hit
ASV2832	species	Pyropia haitanensis	Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	Pyropia	Pyropia haitanensis	best hit
ASV2843	species	Pagurus hirsutiusculus	Eukaryota	Arthropoda	Malacostraca	Decapoda	Paguridae	Pagurus	Pagurus hirsutiusculus	best hit
ASV2875	species	Anthopleura elegantissima	Eukaryota	Cnidaria	Anthozoa	Actiniaria	Actiniidae	Anthopleura	Anthopleura elegantissima	best hit
ASV2880	species	Corallina chilensis	Eukaryota	Rhodophyta	Florideophyceae	Corallinales	Corallinaceae	Corallina	Corallina chilensis	best hit
ASV2897	species	Crusticorallina muricata	Eukaryota	Rhodophyta	Florideophyceae	Corallinales	Corallinaceae	Crusticorallina	Crusticorallina muricata	best hit
ASV2899	species	Podosira stelligera	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Melosirales	Hyalodiscaceae	Podosira	Podosira stelligera	best hit
ASV2903	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV2904	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2905	species	Diopatra ornata	Eukaryota	Annelida	Polychaeta	Eunicida	Onuphidae	Diopatra	Diopatra ornata	best hit
ASV292	species	Microstomum compositum	Eukaryota	Platyhelminthes	Rhabditophora	Macrostomida	Microstomidae	Microstomum	Microstomum compositum	best hit
ASV2941	species	Littorina sitkana	Eukaryota	Mollusca	Gastropoda	Littorinimorpha	Littorinidae	Littorina	Littorina sitkana	best hit
ASV2944	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV2960	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV2989	species	Odonthalia floccosa	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Odonthalia	Odonthalia floccosa	best hit
ASV299	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV2991	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV3004	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV3015	species	Cliona chilensis	Eukaryota	Porifera	Demospongiae	Clionaida	Clionaidae	Cliona	Cliona chilensis	best hit
ASV3020	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV3023	species	Bangia fuscopurpurea	Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	Bangia	Bangia fuscopurpurea	best hit
ASV3044	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV3051	species	Cylindrotheca closterium	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Cylindrotheca	Cylindrotheca closterium	best hit
ASV3059	species	Apostichopus californicus	Eukaryota	Echinodermata	Holothuroidea	Aspidochirotida	Stichopodidae	Apostichopus	Apostichopus californicus	best hit
ASV3070	species	Valenzuela sp. 1EM&KJ	Eukaryota	Arthropoda	Insecta	Psocoptera	Caeciliusidae	Valenzuela	Valenzuela sp. 1EM&KJ	best hit
ASV3071	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV3076	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV309	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV310	species	Dodecaceria sp. CMC01	Eukaryota	Annelida	Polychaeta	Spionida	Cirratulidae	Dodecaceria	Dodecaceria sp. CMC01	best hit
ASV3110	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV3138	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV3146	species	Hemigrapsus oregonensis	Eukaryota	Arthropoda	Malacostraca	Decapoda	Varunidae	Hemigrapsus	Hemigrapsus oregonensis	best hit
ASV3169	species	Dendraster excentricus	Eukaryota	Echinodermata	Echinoidea	Clypeasteroida	Dendrasteridae	Dendraster	Dendraster excentricus	best hit
ASV3172	species	Fabia subquadrata	Eukaryota	Arthropoda	Malacostraca	Decapoda	Pinnotheridae	Fabia	Fabia subquadrata	best hit
ASV3173	species	Aoroides intermedius	Eukaryota	Arthropoda	Malacostraca	Amphipoda	Aoridae	Aoroides	Aoroides intermedius	best hit
ASV3180	species	Coryne eximia	Eukaryota	Cnidaria	Hydrozoa	Anthoathecata	Corynidae	Coryne	Coryne eximia	best hit
ASV3189	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV3211	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV3221	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV323	species	Clytia gracilis	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Clytiidae	Clytia	Clytia gracilis	best hit
ASV3261	species	Endocladia muricata	Eukaryota	Rhodophyta	Florideophyceae	Gigartinales	Endocladiaceae	Endocladia	Endocladia muricata	best hit
ASV3269	species	Chone magna CMC02	Eukaryota	Annelida	Polychaeta	Sabellida	Sabellidae	Chone	Chone magna CMC02	best hit
ASV3272	species	Diopatra ornata	Eukaryota	Annelida	Polychaeta	Eunicida	Onuphidae	Diopatra	Diopatra ornata	best hit
ASV3294	genus	Calycella	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Campanulariidae	Calycella	no identification	lca
ASV3301	genus	Pseudocalanus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	no identification	lca
ASV3304	species	Evasterias troschelii	Eukaryota	Echinodermata	Asteroidea	Forcipulatida	Asteriidae	Evasterias	Evasterias troschelii	best hit
ASV3308	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV3310	species	Mazzaella parksii	Eukaryota	Rhodophyta	Florideophyceae	Gigartinales	Gigartinaceae	Mazzaella	Mazzaella parksii	best hit
ASV3318	species	Phacellophora camtschatica	Eukaryota	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Phacellophora	Phacellophora camtschatica	best hit
ASV332	species	Chone magna CMC02	Eukaryota	Annelida	Polychaeta	Sabellida	Sabellidae	Chone	Chone magna CMC02	best hit
ASV3361	species	Ophiopholis aculeata	Eukaryota	Echinodermata	Ophiuroidea	Ophiurida	Ophiactidae	Ophiopholis	Ophiopholis aculeata	best hit
ASV3393	species	Myxicola sp. A_Harris	Eukaryota	Annelida	Polychaeta	Sabellida	Sabellidae	Myxicola	Myxicola sp. A_Harris	best hit
ASV3411	species	Prionitis lanceolata	Eukaryota	Rhodophyta	Florideophyceae	Halymeniales	Halymeniaceae	Prionitis	Prionitis lanceolata	best hit
ASV342	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV3434	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV3454	genus	Pseudocalanus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	no identification	lca
ASV3458	genus	Pseudocalanus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	no identification	lca
ASV3493	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV3506	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV3509	species	Callithamnion pikeanum	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Ceramiaceae	Callithamnion	Callithamnion pikeanum	best hit
ASV3511	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV3513	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV352	species	Acartia longiremis	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia longiremis	best hit
ASV3533	species	Eupolymnia heterobranchia	Eukaryota	Annelida	Polychaeta	Terebellida	Terebellidae	Eupolymnia	Eupolymnia heterobranchia	best hit
ASV3553	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV3560	species	Hymeniacidon perlevis	Eukaryota	Porifera	Demospongiae	Suberitida	Halichondriidae	Hymeniacidon	Hymeniacidon perlevis	best hit
ASV357	genus	Microstomum	Eukaryota	Platyhelminthes	Rhabditophora	Macrostomida	Microstomidae	Microstomum	no identification	lca
ASV358	species	Pseudocalanus sp. PsAkkeshi1	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus sp. PsAkkeshi1	best hit
ASV36	species	Pseudocalanus mimus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus mimus	best hit
ASV3600	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV3617	species	Polysiphonia pacifica var. determinata	Eukaryota	Rhodophyta	Florideophyceae	Ceramiales	Rhodomelaceae	Polysiphonia	Polysiphonia pacifica var. determinata	best hit
ASV3622	species	Pagurus hirsutiusculus	Eukaryota	Arthropoda	Malacostraca	Decapoda	Paguridae	Pagurus	Pagurus hirsutiusculus	best hit
ASV3623	species	Colaconema proskaueri	Eukaryota	Rhodophyta	Florideophyceae	Colaconematales	Colaconemataceae	Colaconema	Colaconema proskaueri	best hit
ASV3626	species	Cucumaria curata	Eukaryota	Echinodermata	Holothuroidea	Dendrochirotida	Cucumariidae	Cucumaria	Cucumaria curata	best hit
ASV363	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV3637	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV3645	species	Crambe crambe	Eukaryota	Porifera	Demospongiae	Poecilosclerida	Esperiopsidae	Crambe	Crambe crambe	best hit
ASV3662	species	Leptosynapta clarki	Eukaryota	Echinodermata	Holothuroidea	Apodida	Synaptidae	Leptosynapta	Leptosynapta clarki	best hit
ASV3683	species	Littorina scutulata	Eukaryota	Mollusca	Gastropoda	Littorinimorpha	Littorinidae	Littorina	Littorina scutulata	best hit
ASV3698	species	Calliarthron tuberculosum	Eukaryota	Rhodophyta	Florideophyceae	Corallinales	Corallinaceae	Calliarthron	Calliarthron tuberculosum	best hit
ASV3713	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV3714	species	Halichondria panicea	Eukaryota	Porifera	Demospongiae	Suberitida	Halichondriidae	Halichondria	Halichondria panicea	best hit
ASV3728	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV3740	species	Halcampa chrysanthellum	Eukaryota	Cnidaria	Anthozoa	Actiniaria	Halcampidae	Halcampa	Halcampa chrysanthellum	best hit
ASV3752	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	no identification	filtered out
ASV3763	genus	Pseudocalanus	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	no identification	lca
ASV3768	species	Cucumaria vegae	Eukaryota	Echinodermata	Holothuroidea	Dendrochirotida	Cucumariidae	Cucumaria	Cucumaria vegae	best hit
ASV377	species	Mytilus trossulus	Eukaryota	Mollusca	Bivalvia	Mytiloida	Mytilidae	Mytilus	Mytilus trossulus	best hit
